,Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-,E+/-,PIM,Shifts,TOI,TOIX,TOI/GP,TOI/GP.1,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60,iCF,iCF.1,iFF,iSF,iSF.1,iSF.2,ixG,iSCF,iRB,iRS,iDS,sDist,sDist.1,Pass,iHF,iHF.1,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,iGVA.1,iTKA.1,iBLK.1,BLK%,iFOW,iFOL,iFOW.1,iFOL.1,FO%,%FOT,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPEND,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,SCF,SCA,GF,GA,RBF,RBA,RSF,RSA,DSF,DSA,FOW,FOL,HF,HA,GVA,TKA,PENT,PEND,OPS,DPS,PS,OTOI,Grit,DAP,Pace,GS,GS/G,G/GP,A/GP,YearBorn,age,BMI,Adjusted +/-,PIM/GP,iFF/GP,iSF/GP,ixG/GP,iSCF/GP,Pass/GP,iHF/GP,iHA/GP,iMiss/GP,iGVA/GP,iTKA/GP,iBLK/GP,iPEND/GP,iPENT/GP,SCF/GP,SCA/GP,GF/GP,GA/GP,Player Value,Difference in valuation
142,7250000,87-04-24,Montreal,QC,CAN,CAN,72,201,2005.0,3.0,62.0,R,Letang,Kris,D,PIT,41,5,29,9,20,34,2,8.9,32,1207,62774,1041.3,25.52,25.48,43.0,55.7,9.6,0.904,999.0,3.51,3.0,54.0,9,0.52,227.0,227,163.0,122.0,122,122,6.7,15.0,5.0,4.0,9.0,45.4,42.7,145.5,70,70.0,94.0,-24.0,41,43,30,70,43.0,30.0,70.0,7.6,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,1,0,2,0,1,5,35,3,1,30,12,2,0,74,16,14,16.0,8.0,-2,0.6,16,0,0,0,0,1089.0,924.0,825.0,711.0,637.0,539.0,63.8,52.5,235.0,198.0,61.0,52.0,62.0,41.0,34.0,45.0,96,86,556.0,603.0,367.0,457.0,152.0,118.0,67.0,71.0,3.0,1.5,4.5,1381.44,172,6.3,116.0,37.4,0.91,0.12195121951219512,0.7073170731707317,1987,35,6722463.974400001,-6.9,0.7804878048780488,3.975609756097561,2.975609756097561,0.16341463414634147,0.36585365853658536,3.548780487804878,1.7073170731707317,2.292682926829268,1.0,1.048780487804878,0.7317073170731707,1.7073170731707317,0.1951219512195122,0.3902439024390244,5.7317073170731705,4.829268292682927,1.4878048780487805,1.2682926829268293,4283820.403513772,-2966179.5964862276
143,3500000,80-02-10,Montreal,QC,CAN,CAN,72,179,1998.0,2.0,45.0,L,Ribeiro,Mike,C,NSH,46,4,21,10,11,25,-5,-0.2,14,927,44077,732.0,15.97,15.95,28.3,67.6,8.5,0.919,1004.0,3.03,2.46,55.2,7,0.57,74.0,74,50.0,38.0,38,38,4.2,14.0,4.0,3.0,7.0,28.9,26.9,230.3,33,33.0,38.0,-5.0,12,27,10,6,27.0,10.0,6.0,1.0,183,261,183.0,261.0,41.2,72.5,22,27,70,106,91,128,37,59,82,93,116,175,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,10,0,0,10,4,6,0,18,7,4,8.0,0.0,-3,-5.5,7,0,0,0,0,844.0,609.0,617.0,489.0,436.0,372.0,37.9,28.0,106.0,80.0,37.0,30.0,24.0,23.0,32.0,31.0,56,54,261.0,351.0,238.0,240.0,116.0,73.0,50.0,42.0,1.2,0.6,1.8,1854.42,53,6.1,119.1,21.1,0.46,0.08695652173913043,0.45652173913043476,1980,42,5986671.897600001,-4.8,0.30434782608695654,1.0869565217391304,0.8260869565217391,0.09130434782608696,0.30434782608695654,5.006521739130435,0.717391304347826,0.8260869565217391,0.2608695652173913,0.5869565217391305,0.21739130434782608,0.13043478260869565,0.0,0.17391304347826086,2.3043478260869565,1.7391304347826086,0.8043478260869565,0.6521739130434783,2745915.56080134,-754084.4391986602
144,575000,90-05-30,Marshfield,MA,USA,USA,69,170,2008.0,4.0,95.0,L,Warsofsky,David,D,PIT,7,0,1,1,0,1,-3,-1.0,6,158,6608,109.6,15.73,15.71,28.2,20.0,7.7,0.894,971.0,2.74,3.83,41.7,-2,-1.09,31.0,31,23.0,14.0,14,14,0.5,0.0,0.0,1.0,1.0,65.8,50.3,25.8,3,3.0,3.0,0.0,9,3,2,12,3.0,2.0,12.0,9.9,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,1,0,0,8,3,0,3.0,0.0,-3,-1.4,3,0,0,0,0,115.0,121.0,87.0,93.0,65.0,66.0,5.0,7.4,14.0,30.0,5.0,7.0,4.0,9.0,6.0,2.0,10,11,45.0,68.0,38.0,50.0,15.0,12.0,7.0,4.0,0.0,-0.1,-0.1,279.53,21,1.7,129.2,1.7,0.24,0.0,0.14285714285714285,1990,32,5221731.492,-2.0,0.8571428571428571,3.2857142857142856,2.0,0.07142857142857142,0.0,3.685714285714286,0.42857142857142855,0.42857142857142855,1.2857142857142858,0.42857142857142855,0.2857142857142857,1.7142857142857142,0.0,0.42857142857142855,2.0,4.285714285714286,0.7142857142857143,1.0,1236054.4522258176,661054.4522258176
145,10900000,87-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005.0,1.0,1.0,L,Crosby,Sidney,C,PIT,75,44,45,28,17,89,17,18.4,24,1852,89450,1489.6,19.88,19.87,34.1,74.2,11.4,0.917,1031.0,4.83,2.38,67.0,61,2.46,411.0,411,325.0,255.0,255,255,29.8,113.0,34.0,22.0,56.0,23.7,22.9,404.2,80,80.0,91.0,-11.0,70,70,39,27,70.0,39.0,27.0,2.1,842,906,842.0,906.0,48.2,98.5,157,190,293,326,392,390,256,275,253,302,546,549,1,11,5,2,0,0,5,2,2,10,6,1,18,1,4,10,55,39,5,23,45,19,3,121,12,19,12.0,19.0,7,6.2,12,0,0,0,0,1841.0,1272.0,1393.0,959.0,1056.0,715.0,111.1,65.9,419.0,231.0,120.0,59.0,106.0,58.0,60.0,64.0,166,122,857.0,917.0,482.0,651.0,223.0,160.0,82.0,110.0,10.5,1.7,12.3,2880.93,131,9.9,125.4,94.6,1.26,0.5866666666666667,0.6,1987,35,6504503.12,-1.3999999999999986,0.32,4.333333333333333,3.4,0.3973333333333333,1.5066666666666666,5.389333333333333,1.0666666666666667,1.2133333333333334,0.9333333333333333,0.9333333333333333,0.52,0.36,0.25333333333333335,0.16,5.586666666666667,3.08,1.6,0.7866666666666666,9319518.079766523,-1580481.920233477
146,667500,97-01-02,Sault Ste. Marie,ON,CAN,CAN,71,185,2015.0,3.0,67.0,R,Speers,Blake,C,N.J,3,0,0,0,0,0,0,0.3,0,43,1707,28.4,9.48,9.48,17.4,0.0,0.0,1.0,1000.0,0.0,0.0,0.0,0,0.0,3.0,3,3.0,3.0,3,3,0.2,1.0,0.0,0.0,0.0,44.7,44.1,0.0,1,1.0,2.0,-1.0,0,0,1,1,0.0,1.0,1.0,3.3,0,2,0.0,2.0,0.0,9.1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,15.0,30.0,15.0,20.0,15.0,14.0,0.8,0.8,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,18.0,4.0,10.0,12.0,2.0,3.0,2.0,1.0,-0.1,0.0,0.0,135.24,2,0.0,94.9,-0.2,-0.08,0.0,0.0,1997,25,6016665.386000001,-0.3,0.0,1.0,1.0,0.06666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.3333333333333333,0.6666666666666666,0.0,0.0,731541.8779328822,64041.87793288217
147,832500,95-02-04,Hamilton,ON,CAN,CAN,76,220,2013.0,1.0,7.0,L,Nurse,Darnell,D,EDM,44,5,6,2,4,11,0,-1.7,33,962,44927,744.2,17.02,16.98,30.9,37.9,7.8,0.917,995.0,2.34,2.9,44.6,-7,-0.56,145.0,145,110.0,85.0,85,85,3.1,4.0,1.0,4.0,5.0,48.5,47.6,22.6,107,107.0,50.0,57.0,25,36,11,53,36.0,11.0,53.0,7.3,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,23,8,0,17,21,0,2,37,12,2,11.0,1.0,-10,-4.6,9,3,0,0,0,663.0,728.0,494.0,563.0,370.0,433.0,32.1,39.5,124.0,145.0,29.0,36.0,28.0,28.0,29.0,47.0,57,75,337.0,338.0,449.0,282.0,143.0,84.0,53.0,46.0,0.9,1.5,2.4,1666.12,196,13.1,112.2,16.2,0.37,0.11363636363636363,0.13636363636363635,1995,27,8198177.152,1.7,0.75,2.5,1.9318181818181819,0.07045454545454545,0.09090909090909091,0.5136363636363637,2.4318181818181817,1.1363636363636365,0.5681818181818182,0.8181818181818182,0.25,1.2045454545454546,0.022727272727272728,0.25,2.8181818181818183,3.2954545454545454,0.6590909090909091,0.8181818181818182,1148075.0761292418,315575.07612924185
150,3500000,84-10-29,Thunder Bay,ON,CAN,CAN,76,208,2003.0,1.0,2.0,L,Staal,Eric,C,MIN,82,28,37,24,13,65,17,17.7,34,1926,91548,1521.0,18.6,18.59,31.0,72.2,10.2,0.916,1018.0,3.55,2.41,59.6,29,1.14,361.0,360,274.0,211.0,211,211,22.0,75.0,20.0,18.0,38.0,28.9,26.1,315.2,42,42.0,70.0,-28.0,63,24,51,39,24.0,51.0,39.0,2.9,577,597,577.0,597.0,49.1,79.1,156,199,208,201,213,197,191,166,187,192,346,377,0,3,8,4,0,1,3,0,3,2,2,0,18,0,1,4,58,22,5,15,21,7,2,139,17,17,17.0,15.0,0,1.2,17,0,0,0,0,1568.0,1344.0,1162.0,1006.0,886.0,726.0,81.5,56.9,289.0,171.0,90.0,61.0,73.0,41.0,79.0,50.0,152,91,726.0,759.0,318.0,457.0,144.0,171.0,81.0,78.0,6.0,2.0,8.1,3383.28,115,5.5,114.9,67.0,0.82,0.34146341463414637,0.45121951219512196,1984,38,7751003.8527999995,-0.6999999999999993,0.4146341463414634,3.341463414634146,2.573170731707317,0.2682926829268293,0.9146341463414634,3.84390243902439,0.5121951219512195,0.8536585365853658,0.7682926829268293,0.2926829268292683,0.6219512195121951,0.47560975609756095,0.18292682926829268,0.2073170731707317,3.524390243902439,2.0853658536585367,1.0975609756097562,0.7439024390243902,4164550.986887969,664550.9868879691
151,900000,92-04-20,Swan River,MB,CAN,CAN,74,208,2010.0,5.0,133.0,L,Ferland,Micheal,LW/RW,CGY,76,15,10,6,4,25,-1,-1.4,50,1291,52736,878.6,11.57,11.56,22.7,67.6,8.8,0.921,1010.0,2.53,2.32,52.1,3,0.2,172.0,172,145.0,106.0,106,106,11.1,41.0,7.0,16.0,23.0,28.0,27.4,117.7,149,149.0,52.0,97.0,39,38,36,26,38.0,36.0,26.0,3.3,3,4,3.0,4.0,42.9,0.8,0,2,1,2,2,0,0,0,1,3,3,2,0,3,1,0,0,0,2,0,2,4,1,0,6,0,0,3,36,10,1,9,12,5,0,69,12,7,11.0,10.0,-5,-0.5,5,6,0,1,0,813.0,781.0,586.0,601.0,419.0,433.0,37.9,36.1,130.0,127.0,37.0,34.0,36.0,34.0,46.0,50.0,82,84,438.0,439.0,415.0,249.0,139.0,106.0,68.0,53.0,1.9,1.0,2.9,2993.79,231,37.0,108.9,26.2,0.35,0.19736842105263158,0.13157894736842105,1992,30,7348424.012800001,0.3999999999999999,0.6578947368421053,1.9078947368421053,1.394736842105263,0.14605263157894735,0.5394736842105263,1.5486842105263159,1.9605263157894737,0.6842105263157895,0.5131578947368421,0.5,0.47368421052631576,0.34210526315789475,0.13157894736842105,0.14473684210526316,1.7105263157894737,1.6710526315789473,0.4868421052631579,0.4473684210526316,1046089.3314492509,146089.33144925092
153,600000,91-05-17,Pickering,ON,CAN,CAN,73,210,2011.0,3.0,80.0,L,Andreoff,Andy,LW/C,L.A,36,0,2,2,0,2,-2,0.5,70,527,22888,381.1,10.6,10.59,20.7,33.3,3.5,0.939,973.0,0.94,1.42,40.0,-3,-0.47,81.0,81,57.0,38.0,38,38,4.1,12.0,5.0,2.0,7.0,27.2,24.5,116.5,70,70.0,47.0,23.0,19,10,5,7,10.0,5.0,7.0,2.3,41,28,41.0,28.0,59.4,24.1,12,13,14,5,15,10,15,10,14,11,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17,5,0,2,9,1,0,21,19,9,18.0,8.0,-10,-11.0,14,2,0,2,1,359.0,308.0,254.0,228.0,173.0,147.0,16.2,15.7,47.0,55.0,6.0,9.0,18.0,13.0,15.0,27.0,33,40,136.0,150.0,242.0,215.0,52.0,28.0,46.0,27.0,-0.9,0.5,-0.4,1457.01,149,5.4,105.0,5.4,0.15,0.0,0.05555555555555555,1991,31,7219921.044000001,-2.5,1.9444444444444444,1.5833333333333333,1.0555555555555556,0.11388888888888887,0.3333333333333333,3.236111111111111,1.9444444444444444,1.3055555555555556,0.5277777777777778,0.2777777777777778,0.1388888888888889,0.19444444444444445,0.2222222222222222,0.5,1.3055555555555556,1.5277777777777777,0.16666666666666666,0.25,662607.3294553048,62607.329455304774
154,705000,94-01-07,Ottawa,ON,CAN,CAN,72,212,2013.0,7.0,206.0,R,Weegar,Mackenzie,D,FLA,3,0,0,0,0,0,0,0.1,4,62,3140,52.3,17.45,17.44,29.9,0.0,8.0,0.957,1037.0,2.29,1.15,66.7,1,1.15,5.0,5,5.0,3.0,3,3,0.2,0.0,0.0,0.0,0.0,46.0,46.4,0.0,4,4.0,1.0,3.0,2,0,1,1,0.0,1.0,1.0,2.9,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,2,0,2.0,0.0,-2,-1.7,2,0,0,0,0,44.0,34.0,34.0,30.0,25.0,23.0,2.3,2.2,8.0,9.0,2.0,1.0,2.0,2.0,1.0,1.0,3,3,12.0,15.0,9.0,9.0,9.0,3.0,4.0,2.0,-0.1,0.1,0.1,122.57,9,2.5,89.4,0.1,0.03,0.0,0.0,1994,28,7090360.012800001,-0.1,1.3333333333333333,1.6666666666666667,1.0,0.06666666666666667,0.0,0.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,2.6666666666666665,3.0,0.6666666666666666,0.3333333333333333,715621.473906022,10621.47390602203
156,8000000,84-06-16,Brampton,ON,CAN,CAN,76,212,2002.0,1.0,1.0,L,Nash,Rick,RW/LW,NYR,67,23,15,13,2,38,9,0.4,26,1656,66186,1101.7,16.47,16.46,27.5,63.3,11.0,0.919,1029.0,3.27,2.51,56.6,14,0.76,319.0,319,265.0,195.0,195,195,22.4,84.0,14.0,18.0,32.0,27.1,23.4,202.0,63,63.0,53.0,10.0,70,46,43,35,46.0,43.0,35.0,3.2,0,1,0.0,1.0,0.0,0.1,0,0,0,0,0,1,0,1,0,0,0,0,0,5,3,2,0,0,3,0,0,3,2,0,15,1,5,4,60,19,1,6,25,16,2,126,13,21,13.0,16.0,8,3.5,13,0,0,0,0,1021.0,1089.0,783.0,801.0,545.0,570.0,56.8,49.9,202.0,164.0,60.0,46.0,41.0,33.0,46.0,52.0,87,85,593.0,650.0,295.0,329.0,209.0,138.0,54.0,64.0,3.7,1.4,5.0,2898.12,124,8.2,114.9,39.4,0.59,0.34328358208955223,0.22388059701492538,1984,38,7900061.6192,8.6,0.3880597014925373,3.955223880597015,2.91044776119403,0.3343283582089552,1.2537313432835822,3.014925373134328,0.9402985074626866,0.7910447761194029,1.044776119402985,0.6865671641791045,0.6417910447761194,0.5223880597014925,0.23880597014925373,0.19402985074626866,3.014925373134328,2.4477611940298507,0.8955223880597015,0.6865671641791045,6248455.769133303,-1751544.2308666967
157,4000000,90-06-07,Winnipeg,MB,CAN,CAN,75,210,2008.0,3.0,69.0,R,Stone,Michael,D,ARI/CGY,64,3,12,6,6,15,0,-13.1,32,1705,76099,1264.2,19.82,19.8,34.2,34.1,8.5,0.925,1010.0,2.09,2.47,45.8,-8,-0.38,186.0,186,127.0,81.0,81,81,3.2,0.0,4.0,1.0,5.0,52.8,49.2,145.0,125,125.0,86.0,39.0,46,26,5,143,26.0,5.0,143.0,10.7,1,0,1.0,0.0,100.0,0.1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,9,37,0,0,46,7,0,0,28,16,6,16.0,5.0,-10,-0.8,16,0,0,0,0,999.0,1334.0,736.0,985.0,517.0,694.0,47.1,63.9,162.0,213.0,44.0,52.0,42.0,47.0,53.0,55.0,95,102,624.0,649.0,512.0,373.0,167.0,112.0,68.0,68.0,0.4,2.9,3.3,2434.38,300,8.1,110.7,8.4,0.13,0.046875,0.1875,1990,32,7620952.5,13.1,0.5,1.984375,1.265625,0.05,0.0,2.265625,1.953125,1.34375,0.71875,0.40625,0.078125,2.234375,0.078125,0.25,2.53125,3.328125,0.6875,0.8125,3124941.167792373,-875058.8322076271
158,575000,90-05-18,Roseau,MN,USA,USA,70,184,2008.0,2.0,40.0,L,Ness,Aaron,D,WSH,2,0,0,0,0,0,-1,-0.3,0,33,1540,25.7,12.83,12.83,24.3,0.0,0.0,0.923,923.0,0.0,2.34,0.0,-1,-2.34,1.0,1,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,44.7,0.0,2,2.0,2.0,0.0,1,1,0,2,1.0,0.0,2.0,8.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.1,0,0,0,0,0,15.0,25.0,9.0,20.0,7.0,13.0,1.0,0.9,3.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,1,2,5.0,12.0,8.0,13.0,3.0,2.0,0.0,1.0,0.0,0.0,-0.1,80.15,4,0.0,93.5,-0.6,-0.28,0.0,0.0,1990,32,5816762.5600000005,-0.7,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,1.5,1.5,0.0,0.5,658157.6550393893,83157.65503938927
161,740000,95-08-04,Ottawa,ON,CAN,CAN,73,206,2013.0,3.0,69.0,R,Baptiste,Nicholas,RW,BUF,14,3,1,0,1,4,1,-1.4,6,190,7761,129.3,9.23,9.24,17.8,66.7,10.9,0.96,1069.0,2.79,1.39,66.7,3,1.39,21.0,21,21.0,17.0,16,17,1.4,7.0,1.0,0.0,1.0,27.8,29.0,0.0,12,12.0,8.0,4.0,4,1,1,1,1.0,1.0,1.0,0.8,1,2,1.0,2.0,33.3,2.2,0,0,0,1,1,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,1,0,2,0,1,0,13,3,0,5.0,0.0,-3,-3.9,3,0,0,0,0,106.0,118.0,77.0,97.0,55.0,75.0,3.9,4.9,15.0,18.0,6.0,3.0,3.0,3.0,5.0,3.0,8,6,67.0,69.0,68.0,56.0,11.0,5.0,9.0,5.0,0.4,0.2,0.6,597.35,19,4.3,104.0,2.5,0.18,0.21428571428571427,0.07142857142857142,1995,27,7082398.738400001,2.4,0.42857142857142855,1.5,1.2142857142857142,0.09999999999999999,0.5,0.0,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.35714285714285715,1.0714285714285714,1.2857142857142858,0.42857142857142855,0.21428571428571427,773567.5442762615,33567.54427626147
163,667500,96-03-13,Calgary,AB,CAN,CAN,70,166,2014.0,3.0,79.0,R,Point,Brayden,C,T.B,68,18,22,8,14,40,4,1.3,14,1417,69898,1164.3,17.13,17.13,30.4,54.8,11.4,0.917,1031.0,3.76,2.22,62.9,30,1.55,214.0,214,171.0,122.0,122,122,14.2,67.0,6.0,5.0,11.0,24.4,23.3,123.2,39,39.0,88.0,-49.0,49,19,30,31,19.0,30.0,31.0,3.4,238,294,238.0,294.0,44.7,48.8,50,75,87,112,101,107,86,88,49,76,152,200,0,4,2,0,0,0,1,0,0,1,6,0,10,0,5,9,35,18,1,2,16,16,0,69,7,11,8.0,10.0,4,4.1,7,0,0,0,0,1230.0,909.0,917.0,709.0,639.0,515.0,55.7,39.1,185.0,122.0,73.0,43.0,35.0,29.0,38.0,57.0,73,86,506.0,584.0,313.0,405.0,171.0,105.0,53.0,64.0,3.1,1.5,4.7,2664.2,84,9.9,110.2,42.7,0.63,0.2647058823529412,0.3235294117647059,1996,26,5247731.44,2.7,0.20588235294117646,2.514705882352941,1.7941176470588236,0.20882352941176469,0.9852941176470589,1.811764705882353,0.5735294117647058,1.2941176470588236,0.7205882352941176,0.27941176470588236,0.4411764705882353,0.45588235294117646,0.14705882352941177,0.11764705882352941,2.7205882352941178,1.7941176470588236,1.0735294117647058,0.6323529411764706,816822.9051307922,149322.90513079218
164,4000000,86-09-29,Alfred,ON,CAN,CAN,75,204,2005.0,1.0,4.0,L,Pouliot,Benoit,LW,EDM,67,8,6,5,1,14,-5,-3.5,34,1362,56497,941.6,14.05,14.05,24.7,51.9,6.0,0.924,984.0,1.72,2.23,43.5,-8,-0.51,146.0,146,113.0,77.0,77,77,7.7,23.0,5.0,5.0,10.0,28.2,29.3,151.2,39,39.0,60.0,-21.0,36,48,39,39,48.0,39.0,39.0,4.4,7,21,7.0,21.0,25.0,3.1,0,3,1,3,6,15,2,5,3,9,6,14,0,3,1,0,0,0,0,1,0,1,2,0,4,1,0,2,33,8,1,6,23,13,0,26,17,14,17.0,8.0,-3,-8.4,17,0,0,0,0,815.0,896.0,603.0,629.0,448.0,458.0,37.3,44.9,122.0,146.0,27.0,35.0,26.0,50.0,48.0,47.0,74,97,422.0,485.0,353.0,341.0,187.0,133.0,58.0,55.0,-0.2,0.8,0.6,2862.92,112,4.6,109.0,13.4,0.2,0.11940298507462686,0.08955223880597014,1986,36,7403211.0,-1.5,0.5074626865671642,1.6865671641791045,1.1492537313432836,0.11492537313432837,0.34328358208955223,2.2567164179104475,0.582089552238806,0.8955223880597015,0.5373134328358209,0.7164179104477612,0.582089552238806,0.582089552238806,0.11940298507462686,0.2537313432835821,1.8208955223880596,2.1791044776119404,0.40298507462686567,0.5223880597014925,2787142.146717014,-1212857.8532829862
165,700000,91-07-17,Wakaw,SK,CAN,CAN,72,189,2009.0,4.0,96.0,R,Vey,Linden,RW/C,CGY,4,0,0,0,0,0,-2,0.8,0,60,2644,44.0,11.02,11.01,20.7,0.0,0.0,0.882,882.0,0.0,2.73,0.0,-2,-2.73,5.0,5,3.0,1.0,1,1,0.5,2.0,1.0,0.0,1.0,5.0,13.9,0.0,1,1.0,2.0,-1.0,2,2,0,0,2.0,0.0,0.0,0.0,9,15,9.0,15.0,37.5,55.8,1,3,5,10,3,2,4,10,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0.1,0,0,0,0,0,43.0,27.0,25.0,23.0,19.0,17.0,2.2,1.4,7.0,5.0,0.0,2.0,2.0,2.0,2.0,0.0,4,2,22.0,21.0,10.0,12.0,5.0,4.0,3.0,0.0,-0.1,0.0,-0.2,168.39,1,0.0,95.4,0.0,0.0,0.0,0.0,1991,31,6321122.8416,-2.8,0.0,0.75,0.25,0.125,0.5,0.0,0.25,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.75,1.25,0.0,0.5,670591.8053265284,-29408.19467347162
168,9000000,87-10-02,Madison,WI,USA,USA,72,202,2006.0,1.0,5.0,R,Kessel,Phil,RW/C,PIT,82,23,47,25,22,70,3,-5.1,20,1797,88259,1458.7,17.93,17.89,31.5,69.3,10.9,0.935,1044.0,4.15,1.93,68.2,54,2.22,407.0,406,295.0,229.0,229,229,20.6,68.0,12.0,8.0,20.0,31.0,29.2,356.9,12,12.0,42.0,-30.0,66,51,15,15,51.0,15.0,15.0,1.2,5,10,5.0,10.0,33.3,1.0,1,0,2,0,2,10,2,1,2,1,3,8,1,4,4,0,0,1,1,0,1,5,0,0,16,1,4,6,55,8,1,7,66,5,1,141,10,9,10.0,8.0,-1,2.4,10,0,0,0,0,1591.0,1288.0,1200.0,958.0,928.0,723.0,93.3,64.1,332.0,225.0,101.0,47.0,81.0,64.0,43.0,59.0,124,123,728.0,783.0,437.0,591.0,228.0,128.0,98.0,90.0,6.1,1.1,7.3,3164.84,47,2.7,118.4,60.1,0.73,0.2804878048780488,0.573170731707317,1987,35,6755909.0688000005,8.1,0.24390243902439024,3.597560975609756,2.792682926829268,0.25121951219512195,0.8292682926829268,4.352439024390244,0.14634146341463414,0.5121951219512195,0.8048780487804879,0.6219512195121951,0.18292682926829268,0.18292682926829268,0.0975609756097561,0.12195121951219512,4.048780487804878,2.7439024390243905,1.2317073170731707,0.573170731707317,7150428.468528193,-1849571.5314718066
173,925000,95-04-20,New Haven,CT,USA,USA,73,214,2013.0,2.0,33.0,L,Erne,Adam,LW,T.B,26,3,0,0,0,3,-9,0.9,11,441,18419,305.9,11.8,11.79,22.4,60.0,3.4,0.904,938.0,0.98,2.55,27.8,-8,-1.57,65.0,65,58.0,40.0,40,40,3.7,13.0,3.0,0.0,3.0,29.2,28.3,0.0,71,71.0,23.0,48.0,18,5,2,13,5.0,2.0,13.0,5.2,0,2,0.0,2.0,0.0,0.7,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,4,13,8,0,3,4,2,1,22,4,5,4.0,4.0,1,-1.6,3,1,0,0,0,286.0,249.0,217.0,183.0,145.0,135.0,13.0,8.6,42.0,26.0,5.0,13.0,19.0,2.0,6.0,20.0,25,22,133.0,166.0,186.0,120.0,41.0,22.0,13.0,23.0,-0.2,0.0,-0.2,1061.61,96,24.3,104.9,5.1,0.2,0.11538461538461539,0.0,1995,27,7357443.349600001,-9.9,0.4230769230769231,2.230769230769231,1.5384615384615385,0.1423076923076923,0.5,0.0,2.730769230769231,0.8846153846153846,0.6923076923076923,0.19230769230769232,0.07692307692307693,0.5,0.15384615384615385,0.15384615384615385,1.6153846153846154,1.0,0.19230769230769232,0.5,886678.9454903929,-38321.054509607144
